,telegeram_channel_id,telegram_channel_name,telegeram_channel_type,message_id,message_type,text,created_at,update_at,hashtags,emojis,symbols,links,mentions
123,1276529415,ዳዊት ፈጣን የድለላ ስራ,public_supergroup,11587,message,የሚሸጥ ዘመናዊ G+2 ቤት ለመኖሪያ ምቹ የሆነ ዘመናዊ እቃዎች የተገጠመለት ሰፈር CMC ሳኣሊተ ምህረት አከባቢ ስፋት 425 ካሬሜ ዋጋ 90 ሚሊዮን ይባላል 6 መኝታ ቤት 7 መታጠቢያ ቤት 2 ማብሰያ/ኪችን 2 ሳሎን 1 ስቶር እስፖርት ቤት እስቲም እና ሳውና ያለው 1 የሰራተኛ ክፍል 5 መኪና ማቆሚያ ቦታ እና በቂ ግሪን ያለው ልማት የለማ ሰፋር ነዉ 2% ኮምሽን ለስራችን እናስከፍላለን ማሳሰቢያ፦ ኮምሽን መክፈል ላይ የሚከራከር ሰው እንደይደውል። ‍ ዉድ ደንበኞቻችን ስለመረጣቹን እናመሰግናለን! ለበለጠ መረጃ፡,2023-03-29T20:07:34,2023-04-01T19:16:24,[],♦️            👉     👉    👉       👉     👉     👉    👉    👉            👉     👉          👉      ❗️             🧍♂     ☎️   📞,--,[],[]
132,1276529415,ዳዊት ፈጣን የድለላ ስራ,public_supergroup,11596,message,"የሚሸጥ ምርጥ G+2 ቤት ለትምህርት ቤት በጣም አመቺ ቦታ ሰፈር CMC አካባቢ ስፋት 3000 ካሬሜ ዋጋ 300,000,000 ሚልዮን ብር ይባላል ልማት የለማ ሰፋር ነዉ 2% ኮሚሽን ለስራችን እናስከፍላለን ማሳሰቢያ፦ ኮሚሽን መክፈል ላይ የሚከራከር ሰው እንደይደውል። ‍ ዉድ ደንበኞቻችን ስለመረጣቹን እናመሰግናለን! ለበለጠ መረጃ፡",2023-03-30T06:21:20,2023-03-30T06:22:11,[],♦️           👉      👉      👉      👉      ❗️             🧍♂     ☎️   📞,-,[],[]
146,1276529415,ዳዊት ፈጣን የድለላ ስራ,public_supergroup,11613,message,"የሚሸጥ G+3 ፍኒሽንግ ቤት ሰፈር አያት አካባቢ ስፋት 90 ካሬሜ ዋጋ 17,500,000 ሚሊየን ይባላል 2% ኮምሽን ለስራችን እናስከፍላለን ‍ ዉድ ደንበኞቻችን ስለመረጣቹን እናመሰግናለን! ለበለጠ መረጃ፡",2023-04-03T05:10:29,2023-04-04T05:04:37,[],♦️     👉     👉     👉        ❗️      🧍♂     ☎️   📞,-,[],[]
148,1276529415,ዳዊት ፈጣን የድለላ ስራ,public_supergroup,11617,message,"የሚሸጥ ቤት ለመኖሪያ በጣም አመቺ ቦታ ሰፈር ፊጋ ኮምፓዉንድ ዉስጥ ስፋት 105 ካሬሜ ዋጋ 14,000,000 ሚልዮን ብር ይባላል ልማት የለማ ሰፋር ነዉ 2% ኮምሽን ለስራችን እናስከፍላለን ‍ ዉድ ደንበኞቻችን ስለመረጣቹን እናመሰግናለን! ለበለጠ መረጃ፡ Odeeffannoo Dabalataaf፦",2023-04-04T04:46:41,2023-04-04T04:50:08,[],♦️         👉      👉     👉       👉      ❗️      🧍♂     ☎️   ☎️   📞,-,[],[]
149,1276529415,ዳዊት ፈጣን የድለላ ስራ,public_supergroup,11631,message,"የሚሸጥ መሳራት የወጣ ለመኖሪያ ቤት የሚሆን ሰፈር አራብሳ ዲያስፖራ ስፋት 150 ካ/ሜ ዋጋ 8,500,000 ሚሊየን 2% ኮምሽን ለስራችን እናስከፍላለን ‍ ዉድ ደንበኞቻችን ስለመረጣቹን እናመሰግናለን! ለበለጠ መረጃ፡ Odeeffannoo Dabalataaf፦",2023-04-06T12:55:52,2023-04-06T18:21:58,[],♦️       👉    👉     👉     ❗️      🧍♂     ☎️   ☎️    📞,-,[],[]
152,1276529415,ዳዊት ፈጣን የድለላ ስራ,public_supergroup,11653,message,እጅግ ዘመናዊ ቪላ ቤት በአዲስ አበባ ወሰን ሂልሳይድ ትምሀርት ቤት አከባቢ የሚገኝ 745 ካሬ ሜትር ጥንቅቅ ብሎ ያለቀ በጣም በጥራት የተሰራ ፦ 5 መኝታ ፣ 1 ቢሮ ፣ 2 ኪችን ያለው ፣ ከ4 መኪኖች በላይ የሚያቆም ለመንገድ ቅርብ የሆነ ምርጥ ቤት 70 ሚልየን ይባላል 2% ኮምሽን ለስራችን እናስከፍላለን ‍ ዉድ ደንበኞቻችን ስለመረጣቹን እናመሰግናለን! ለበለጠ መረጃ፡ Odeeffannoo Dabalataaf፦,2023-04-09T16:31:08,2023-05-17T11:37:02,[],♦️                                            ❗️      🧍♂     ☎️   ☎️    📞,-,[],[]
163,1276529415,ዳዊት ፈጣን የድለላ ስራ,public_supergroup,11664,message,"የሚሸጥ ቆንጆ ዘመናዊ ቪላ ቤት ሰሪቪስ G+1 ያለዉ ሰፈር መር ስፋት 150 ካሜ ዋጋ 18,000,000 ሚሊየን ይባላል 2% ኮምሽን ለስራችን እናስከፍላለን ‍ ዉድ ደንበኞቻችን ስለመረጣቹን እናመሰግናለን! ለበለጠ መረጃ፡ Odeeffannoo Dabalataaf፦",2023-04-11T19:32:06,2023-04-15T12:35:13,[],♦️         👉   👉      👉     ❗️      🧍♂     ☎️   ☎️    📞,-,[],[]
173,1276529415,ዳዊት ፈጣን የድለላ ስራ,public_supergroup,11684,message,"የሚሸጥ ኤል ሼፕ ቤት ሰፈር አያት 49 መዞሪያ ስፋት 90 ካሜ ዋጋ 11,000,000 ሚሊየን ይባላል 2% ኮምሽን ለስራችን እናስከፍላለን ‍ ዉድ ደንበኞቻችን ስለመረጣቹን እናመሰግናለን! ለበለጠ መረጃ፡ Odeeffannoo Dabalataaf፦",2023-04-12T14:28:48,2023-10-24T06:09:18,[],♦️     👉       👉      👉     ❗️      🧍♂     ☎️   ☎️    📞,-,[],[]
174,1276529415,ዳዊት ፈጣን የድለላ ስራ,public_supergroup,11685,message,"የሚሸጥ ቆንጆ ዘመናዊ ኤል ሼፕ ቤት ቲ/ላይ ሰፈር አያት ፀበል ኮንዶሚነየም ስፋት 90 ካሜ ዋጋ 13,000,000 ሚሊየን ይባላል 2% ኮምሽን ለስራችን እናስከፍላለን ‍ ዉድ ደንበኞቻችን ስለመረጣቹን እናመሰግናለን! ለበለጠ መረጃ፡ Odeeffannoo Dabalataaf፦",2023-04-12T14:38:53,2023-09-25T13:51:50,[],♦️        👉       👉      👉     ❗️      🧍♂     ☎️   ☎️    📞,-,[],[]
175,1276529415,ዳዊት ፈጣን የድለላ ስራ,public_supergroup,11693,message,"መልካም የይቅርታ፣ የፍቅር እና የአንድነት ቀን Guyyaa Dhifamaa,Jalalaa fi Tokkummaa nufaa ta u",2023-04-14T12:46:24,2023-04-14T18:50:43,[],            ,',[],[]
176,1276529415,ዳዊት ፈጣን የድለላ ስራ,public_supergroup,11695,message,የሚሸጥ ኤል ሼፕ ቤት ቲ/ላይ ሰፈር አያት አየር መንገድ ቤቶች አካባቢ 90 ካሜ 1 ሳሎን 3 መኝታ ቤት 2 መታጠቢያ 1 ኪችን 1 መኪና ማቆሚያ ቦታ ዋጋ 11 ሚሊየን ብር 2% ኮምሽን ለስራችን እናስከፍላለን ‍ ዉድ ደንበኞቻችን ስለመረጣቹን እናመሰግናለን! ለበለጠ መረጃ፡ Odeeffannoo Dabalataaf፦,2023-04-15T13:34:09,2023-04-15T13:37:52,[],♦️     👉       👉    👉    👉     👉    👉    👉      👉      ❗️      🧍♂     ☎️   ☎️    📞,-,[],[]
179,1276529415,ዳዊት ፈጣን የድለላ ስራ,public_supergroup,11698,message,"የሚሸጥ ኤል ሼፕ ቤት ሰፈር አያት አየር መንገድ ቤቶች አካባቢ 75 ካሜ 1 ሳሎን 2 መኝታ ቤት 2 መታጠቢያ 1 ኪችን 1 መኪና ማቆሚያ ቦታ ዋጋ 8,500,000 ሚሊየን ብር 2% ኮምሽን ለስራችን እናስከፍላለን ‍ ዉድ ደንበኞቻችን ስለመረጣቹን እናመሰግናለን! ለበለጠ መረጃ፡ Odeeffannoo Dabalataaf፦",2023-04-15T13:40:01,2023-04-16T16:27:15,[],♦️     👉       👉    👉    👉     👉    👉    👉      👉      ❗️      🧍♂     ☎️   ☎️    📞,-,[],[]
181,1276529415,ዳዊት ፈጣን የድለላ ስራ,public_supergroup,11707,message,"ፈረንሳይ እንባሲ አካባቢ የሚሸጥ ስፋት322 ካሬ ሜትር ቆንጆ ሰፈር አቀማመጥ 172×185 8 ሰርቪስ ሁሉም የጭቃ ዋናዉ ቤት የድሮ የጭቃ ቤት ነዉ ዋጋ26,000,000 ሚሊየን ብር 2% ኮምሽን ለስራችን እናስከፍላለን ‍ ዉድ ደንበኞቻችን ስለመረጣቹን እናመሰግናለን! ለበለጠ መረጃ፡ Odeeffannoo Dabalataaf፦",2023-04-18T15:31:13,2023-08-09T20:51:16,[],♦️     👉    👉      👉      👉           ❗️      🧍♂     ☎️   ☎️    📞,-,[],[]
190,1276529415,ዳዊት ፈጣን የድለላ ስራ,public_supergroup,11716,message,"በአስቸኳይ የሚሸጥ ቆንጆ ቦታ ለመኖሪያ ቤት የሚሆን የሊማት ተነሽ የ2010 ካሪታ ሰፈር አያት አካባቢ ስፋት 250 ካሬሜ ዋጋ 12,500,000 ሚሊየን ይባላል 2% ኮምሽን ለስራችን እናስከፍላለን ‍ ዉድ ደንበኞቻችን ስለመረጣቹን እናመሰግናለን! ለበለጠ መረጃ፡ Odeeffannoo Dabalataaf፦",2023-04-18T15:39:24,2023-04-18T16:10:36,[],♦️       👉      👉     👉     👉      ❗️      🧍♂     ☎️   ☎️    📞,-,[],[]
191,1276529415,ዳዊት ፈጣን የድለላ ስራ,public_supergroup,11717,message,"የሚሸጥ ዘመናዊ G+3 ቤት ለመኖሪያ አመቺ ቦታ የለማ ሳፋር ሰፈር ሳሚት አካባቢ ስፋት 75 ካሜ ዋጋ 21,500,000 ሚሊየን 2% ኮምሽን ለስራችን እናስከፍላለን ‍ ዉድ ደንበኞቻችን ስለመረጣቹን እናመሰግናለን! ለበለጠ መረጃ፡ Odeeffannoo Dabalataaf፦",2023-04-18T20:22:53,2023-04-19T18:29:09,[],♦️          👉    👉     👉     ❗️      🧍♂     ☎️   ☎️   📞,-,[],[]
201,1276529415,ዳዊት ፈጣን የድለላ ስራ,public_supergroup,11767,message,"G+2 ለመኖሪያ ቤት የሚሆን አሁን በአለበት ይሸጣል ( ቲ/ላይ ነዉ ) ሰፈር አራብሳ ዲያስፖራ ስፋት 150 ካሬ ሜትር ዋጋ 13,500,000 ሚሊየን ይባላል 2% ኮምሽን ለስራችን እናስከፍላለን ‍ ዉድ ደንበኞቻችን ስለመረጣቹን እናመሰግናለን! ምን ይፈልጋሉ ቤት፣ቦታ፣ህንፃ፣መጋዘን የተለዩ የቢዝነስ ቤቶችና ቦታዎች መግዘት ወይም መሸጥ ይፈልጋሉ :: ለበለጠ መረጃ፡ Odeeffannoo Dabalataaf፦",2023-04-21T10:08:55,2023-05-02T20:08:20,[],♦️              👉    👉      👉    ❗️      🧍♂     ✍              ☎️   ☎️        👇       👇 📞,-,[],[]
